b443.2673.16c6	100GE7/0/0     
00d0.d650.c797	Gi6/1/2        
d4e8.80d4.5640	Gi6/1/2        
b0ac.d21e.4fcd	Gi6/0/0        
b0ac.d221.22dd	Gi6/0/0        
cc7d.3781.5686	100GE7/0/0     
0021.9422.8b24	100GE7/0/0     
f02f.a75b.bba1	Gi6/1/2        
d48c.b541.a900	Gi6/0/0        
f479.60c5.d5ce	Gi6/0/1        
6cb2.aee8.8340	Gi6/0/0        
f098.3878.1624	100GE7/0/0     
e024.7fc4.6a4f	Gi6/1/3        
0020.d23b.ddff	Gi6/0/2        
b443.2673.16c6	100GE7/0/0     
0024.17a8.d2ea	Gi4/0/2        
a0e0.afda.d7a1	Gi6/1/2        
9462.69f7.2844	Gi6/1/3        
10b3.d6d7.f280	Gi6/1/3        
883f.d3cd.80db	Gi6/0/0        
78c1.a722.5aec	Gi6/0/0        
001f.9f74.1fee	Gi4/0/3        
0020.d23d.0625	Gi6/0/2        
50f7.222e.36a5	Gi6/1/3        
0021.940b.4eac	100GE7/0/0     
0026.445c.e828	Gi6/0/0        
00d0.d650.c6cb	Gi6/0/0        
00a0.0acc.5c70	Gi6/1/3        
ec4d.4773.9291	Gi6/0/0        
e00e.dac1.ac80	Gi6/0/2        
00a0.0acc.46b6	Gi6/1/3        
00d0.d610.6aeb	Gi4/0/1        
0800.0800.3eac	Gi6/0/2        
0020.d229.0fe1	Gi4/0/0        
0021.940b.7b2e	Gi6/0/0        
b443.2673.16c6	100GE7/0/0     
b443.2673.16c6	100GE7/0/0     
b07d.47e7.65c5	Gi6/0/0        
3872.c016.25bf	100GE7/0/0     
0800.23ee.d4a1	Gi6/0/0        
14a0.f8dc.b06d	Gi6/0/2        
00d0.d648.4b5b	Gi4/0/5        
0016.b5ca.5828	100GE7/0/0     
00d0.d610.6aca	Gi6/1/2        
f88e.859e.dffa	100GE7/0/0     
001f.ca23.ad98	Gi6/0/0        
0020.d237.9685	Gi6/0/0        
b443.2673.16c6	100GE7/0/0     
f41f.c2ac.763f	Gi6/0/1        
cccc.81ec.d62f	Gi6/1/3        
0018.4802.2930	Gi6/1/3        
c464.136f.b8ce	Gi6/1/3        
b443.2673.16c6	100GE7/0/0     
9813.334c.2e1e	Gi6/0/1        
b443.2673.16c6	100GE7/0/0     
f40f.1b57.e8e1	100GE7/0/0     
0090.d063.4537	Gi4/0/0        
28b4.48a8.99b3	Eth-Trunk6     
0040.9d55.ca8d	Gi4/0/1        
0007.7d06.1580	100GE7/0/0     
f063.f917.5425	Gi6/0/2        
346a.c25d.1690	Gi6/1/2        
b443.2673.16c6	100GE7/0/0     
f07f.062c.efc0	Gi6/0/0        
b443.2673.16c6	100GE7/0/0     
40ee.dd54.fe8b	Gi6/1/2        
f40f.1b57.48c0	100GE7/0/0     
3091.8f0b.45fe	Gi6/0/0        
b0ac.d266.d1f7	100GE7/0/0     
0021.9432.20b9	Gi6/0/0        
0800.3eb6.ad44	Gi6/0/2        
5006.abe4.a4c5	Gi6/1/3        
00d0.d648.4c3d	Gi6/1/3        
d0ef.c1a8.11b4	Gi6/0/2        
a493.4c9c.8b40	Gi4/0/1        
881d.fc02.a220	Gi6/0/1        
0007.72d6.c631	Gi6/0/0        
6cb2.aee8.8a80	Gi6/1/2        
b443.2673.16c6	100GE7/0/0     
9835.ed32.d2cb	Gi6/1/2        
b443.2673.16c6	100GE7/0/0     
60de.f3c7.61ea	100GE7/0/0     
3400.a349.1d7f	Gi6/0/0        
