2894.0f77.a885	100GE7/0/0     
1c1d.86e1.f095	100GE7/0/0     
007e.952c.03d5	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
b0ac.d266.d1f7	Gi4/0/2        
b443.2673.128e	100GE7/0/0     
b0ac.d21e.2dc7	Gi6/0/4        
e024.7fc4.6a4a	100GE7/0/0     
5489.9817.2acb	Gi6/0/4        
0800.3e0e.0468	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
0020.d237.a975	Gi6/0/4        
3c15.fb59.2db4	100GE7/0/0     
00fd.2227.5e20	100GE7/0/0     
2c97.b16e.82d7	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
0800.23ee.d4a1	100GE7/0/0     
0002.ab11.3d9e	Gi6/0/4        
b443.2673.128e	100GE7/0/0     
0020.d237.53e0	Gi6/0/4        
0018.4800.238e	Gi4/0/10       
0080.8f9b.ba7a	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
0018.4800.237c	Gi4/0/10       
0013.b604.a4e7	Gi4/0/10       
0020.d234.1cb5	Gi6/0/4        
b443.2673.128e	100GE7/0/0     
ec9e.cd08.dea8	Gi4/0/10       
d0ef.c15d.2e65	100GE7/0/0     
0019.8f2f.9b9b	Gi4/0/1        
0020.d254.c508	Gi6/0/4        
0800.3e0e.00e6	100GE7/0/0     
0081.c42c.5220	Eth-Trunk2     
b0ac.d220.d699	Gi6/0/4        
0021.941e.b0a6	Gi6/0/4        
707b.e80f.556b	Gi6/0/4        
40ee.dda1.6dfa	100GE7/0/0     
d867.d9fc.e6c0	100GE7/0/0     
e0cc.7a07.c7c8	100GE7/0/0     
00d0.d610.6cb5	100GE7/0/0     
0021.941e.ad22	Gi4/0/2        
2cf8.9baf.2d80	100GE7/0/0     
0021.9431.804f	Gi4/0/1        
2841.c6ab.3d94	Gi6/0/4        
0002.ab12.c319	Gi6/0/4        
0035.1ab6.af40	100GE7/0/0     
d060.8c0d.fe66	Gi4/0/1        
0002.ab11.0e50	Gi6/0/4        
b443.2673.128e	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
a03d.6f94.0fa1	100GE7/0/0     
0020.d242.3996	Gi6/0/4        
b443.2673.128e	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
f898.efe7.5324	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
00a0.0a10.980f	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
0002.ab10.c07b	Gi6/0/4        
0800.3eb6.ad44	100GE7/0/0     
28c7.ce2b.44f5	100GE7/0/0     
2c97.b16e.790b	100GE7/0/0     
0800.3e0e.066e	100GE7/0/0     
0002.ab11.0e53	Gi6/0/4        
18b8.1fff.ded4	Gi4/0/10       
0021.9423.7860	Gi6/0/4        
7858.601a.bf76	100GE7/0/0     
0013.49ac.4758	Gi6/0/4        
00a0.c5fb.9990	Gi6/0/4        
0007.722f.9353	Gi6/0/4        
a023.9f39.7140	100GE7/0/0     
0800.3e0e.00d5	100GE7/0/0     
00d0.d660.59d2	100GE7/0/0     
7081.0570.5981	100GE7/0/0     
0011.0700.a4fa	Gi4/0/10       
0011.0700.95ca	Gi4/0/10       
649e.f31c.2bac	100GE7/0/0     
a069.8602.6604	Gi4/0/10       
0011.0700.bf0a	Gi4/0/10       
d060.8c0e.0f76	Gi6/0/4        
00d0.d653.272f	100GE7/0/0     
00d0.d653.28d1	100GE7/0/0     
a415.8839.fdfa	Gi4/0/10       
00d0.d610.6b60	100GE7/0/0     
00d0.d653.2a4f	100GE7/0/0     
ecf0.feec.1698	Gi4/0/1        
00d0.d650.2186	100GE7/0/0     
12d0.d655.2d1a	Gi6/0/4        
00d0.d650.c68b	100GE7/0/0     
fc5b.3999.ace1	100GE7/0/0     
7081.0591.41e1	Gi6/0/4        
a46c.2a00.0d80	100GE7/0/0     
0040.9d55.c9e6	100GE7/0/0     
28c7.ce29.9775	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
00a0.0acc.5936	100GE7/0/0     
0020.d257.fcc9	Gi6/0/4        
bcc4.939d.d0c0	Gi6/0/4        
0800.3e0e.04d1	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
0020.d258.6786	Gi6/0/4        
d867.d9fc.e6c1	100GE7/0/0     
0800.23ee.e32e	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
00d0.d656.e6c7	100GE7/0/0     
00d0.d653.27e9	100GE7/0/0     
00d0.d653.27a3	100GE7/0/0     
00d0.d656.e85d	100GE7/0/0     
0020.d258.2eeb	Gi6/0/4        
501d.93f8.8c67	Gi6/0/4        
f40f.1b57.e8e0	Gi6/0/4        
0020.d23b.7b89	100GE7/0/0     
0025.9edc.301c	100GE7/0/0     
00a0.0a10.aed5	Gi6/0/4        
b443.2673.128e	100GE7/0/0     
0021.942a.e4d6	Gi6/0/4        
00d0.d650.c797	100GE7/0/0     
e0cc.7a07.c72c	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
00d0.d610.6c72	100GE7/0/0     
e0cc.7a07.c584	100GE7/0/0     
00d0.d650.1faf	100GE7/0/0     
00d0.d648.4c46	100GE7/0/0     
0020.d258.2a22	Gi6/0/4        
500f.809c.6bbf	Gi6/0/4        
0025.9e98.678c	Gi6/0/4        
00d0.d606.9c5e	100GE7/0/0     
0016.b5ca.5840	Gi4/0/10       
00d0.d648.4c4a	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
0025.9e98.da15	Gi6/0/4        
0020.d256.541c	Gi6/0/4        
ccbb.fef6.475c	Gi6/0/4        
f479.6084.8e1f	Gi6/0/4        
d0ef.c171.ad5f	Gi6/0/4        
6cb2.aee8.8e20	Gi6/0/4        
b4de.314c.bf00	Gi6/0/4        
940b.19c4.20ee	Gi6/0/4        
5c83.8f46.8580	Eth-Trunk3     
00a0.26c6.4ffd	Gi6/0/4        
b07d.47e6.8605	Eth-Trunk2     
78ba.f9d1.1da0	Eth-Trunk3     
28ff.3e21.fa9c	100GE7/0/0     
5c83.8f46.6fe0	Eth-Trunk3     
4055.39b2.33dc	Gi6/0/4        
00d0.d650.c6cb	100GE7/0/0     
501c.bfdf.5b45	100GE7/0/0     
58f3.9c92.17a1	Eth-Trunk2     
7081.0591.41e0	Gi6/0/4        
0018.19ea.edc1	Gi6/0/4        
f098.3878.1624	Gi6/0/4        
00d0.d656.e929	Gi6/0/4        
5c83.8f46.87a0	100GE7/0/0     
000b.82f1.8ea1	Gi6/0/4        
00d0.d653.28e7	Gi6/0/4        
00d0.d653.2a4b	Gi6/0/4        
00d0.d653.28fb	Gi6/0/4        
00d0.d648.a519	Gi6/0/4        
001a.e85f.6d32	Eth-Trunk2     
f898.efe7.5504	100GE7/0/0     
00d0.d656.e6d7	100GE7/0/0     
00d0.d610.6a19	Eth-Trunk3     
00d0.d648.4c3d	100GE7/0/0     
5489.9818.714d	100GE7/0/0     
6470.0274.0ce3	100GE7/0/0     
00d0.d648.4c1d	100GE7/0/0     
70ca.9b57.d1ce	Eth-Trunk2     
b443.2673.128e	100GE7/0/0     
00fd.2227.7ec0	100GE7/0/0     
881d.fc17.4488	100GE7/0/0     
00d0.d650.c731	Gi6/0/4        
b443.2673.128e	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
