001f.9f74.1fee	Gi0/2/4        
0021.9424.23b4	Gi0/2/5        
b4f5.8e12.1b28	Gi0/2/5        
78c1.a722.4a7a	Gi0/2/5        
9813.334c.2bbc	Gi0/2/5        
7c39.53f9.0567	Gi0/2/5        
0021.9417.dece	Gi0/2/5        
b4f5.8e12.12e1	Gi0/2/5        
0020.d242.35c3	Gi0/2/4        
0021.9424.2498	Gi0/2/6        
00a0.26c6.4f60	Gi0/2/4        
ecf0.feec.b2e0	Gi0/2/5        
3099.3597.7a0b	Gi0/2/5        
807d.14d9.7326	Gi0/2/6        
0021.941e.b4f6	Gi0/2/5        
5078.b397.fb44	Gi0/2/5        
d060.8c0d.aac0	Gi0/2/5        
0021.940a.e08a	Gi0/2/6        
b4f5.8e12.aeb7	Gi0/2/5        
0021.9412.b694	Gi0/2/5        
9813.334c.8004	Gi0/2/5        
3099.3597.b347	Gi0/2/5        
7c39.53f8.d803	Gi0/2/5        
940b.19c3.a915	Gi0/2/5        
0021.941e.be20	Gi0/2/5        
0026.445c.efb0	Gi0/2/5        
0014.7ff4.9836	Gi0/2/5        
646d.6c6f.23e1	Gi0/2/5        
8c68.c891.adb0	Gi0/2/5        
0021.942b.1614	Gi0/2/6        
0021.942b.2406	Gi0/2/5        
7c39.53f8.d783	Gi0/2/5        
0021.940a.5d6e	Gi0/2/5        
0021.9434.2f09	Gi0/2/5        
b4f5.8e11.fe50	Gi0/2/6        
b4f5.8e12.a803	Gi0/2/5        
d060.8c0d.3d33	Gi0/2/5        
8c68.c891.26b4	Gi0/2/5        
3099.3597.85d2	Gi0/2/5        
0021.9417.bffc	Gi0/2/5        
807d.14d9.63dd	Gi0/2/5        
0021.9433.32d3	Gi0/2/5        
d060.8c0c.8c64	Gi0/2/5        
60de.f3c7.61ea	Gi0/2/4        
b0ac.d21e.592b	Gi0/2/5        
d060.8c0c.bf78	Gi0/2/5        
b0ac.d21d.1f63	Gi0/2/5        
b0ac.d267.25cb	Gi0/2/5        
78c1.a722.3882	Gi0/2/4        
0021.9409.c76e	Gi0/2/5        
b4f5.8e12.0eaa	Gi0/2/5        
807d.14d8.e51d	Gi0/2/5        
0021.9431.f309	Gi0/2/5        
b0ac.d221.1bd3	Gi0/2/5        
0021.9417.853a	Gi0/2/5        
d060.8c0d.6210	Gi0/2/5        
7c39.53fa.039b	Gi0/2/4        
5078.b399.62f4	Gi0/2/5        
